Год,Тип,Название,Соавторы,Издательство,Темы,Страницы,DOI,EDN,Ссылка,Полное описание
2022,Книга,Петушок-Золотой гребешок. Интерактивные сказки,,Билингва,,,,,,"Тимофеева Л.Л. Петушок-Золотой гребешок. Интерактивные сказки. М.: Билингва, 2022. – 32 с"
2022,Статья в журнале,"Семинар-практикума для педагогов, чтобы предотвратить опасные ситуации с детьми летом",,,Профессиональное развитие педагогов; Дошкольное образование,с. 12–17,,,,"Тимофеева Л.Л. Семинар-практикума для педагогов, чтобы предотвратить опасные ситуации с детьми летом // Справочник старшего воспитателя дошкольного учреждения. 2022. № 7. С. 12–17"
2022,Методическое пособие,Формирование культуры безопасности у детей дошкольного возраста. Младшая группа,,Русское слово – учебник,Культура безопасности; Дошкольное образование,,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей дошкольного возраста. Младшая группа: методическое пособие. М.: ООО «Русское слово – учебник», 2022. – 192 с"
2022,Методическое пособие,Формирование культуры безопасности у детей дошкольного возраста. Средняя группа,,Русское слово – учебник,Культура безопасности; Дошкольное образование,,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей дошкольного возраста. Средняя группа: методическое пособие. М.: ООО «Русское слово – учебник», 2022. – 184 с"
2022,Статья в журнале,Формирование культуры безопасности у младших школьников (к постановке проблемы),,,Культура безопасности,с. 11–16,10.12737/1998-0728-2022-10-2-11-16,,https://doi.org/10.12737/1998-0728-2022-10-2-11-16,"Тимофеева Л.Л. Формирование культуры безопасности у младших школьников (к постановке проблемы) // Начальное образование. 2022. Том. 10, № 2. С. 11—16"
2022,Статья в журнале,Что должны знать педагоги о естественно-научной грамотности дошкольников. Сценарий обучающего семинара,,,Естественно-научная грамотность; Функциональная грамотность,с. 14–20,,,,Тимофеева Л.Л. Что должны знать педагоги о естественно-научной грамотности дошкольников. Сценарий обучающего семинара // Справочник старшего воспитателя дошкольного учреждения. 2022. № 10. С. 14–20
2021,Статья в журнале,"30-летие учебного предмета ОБЖ: история, современность, проблемы и перспективы",Гафнер В.В.,,Культура безопасности,с. 118–127,,,https://elibrary.ru/item.asp?id=46262052&,"Гафнер В.В., Тимофеева Л.Л. 30-летие учебного предмета ОБЖ: история, современность, проблемы и перспективы // Педагогика. 2021. № 6. С. 118—127"
2021,Статья в журнале,"«Космический бадминтон», или Что рассказать педагогам об игре и как увлечь ею детей",,,Профессиональное развитие педагогов; Дошкольное образование,с. 40–45,,,,"Тимофеева Л.Л. «Космический бадминтон», или Что рассказать педагогам об игре и как увлечь ею детей // Справочник старшего воспитателя дошкольного учреждения. 2021. № 7. С. 40—45"
2021,Статья в журнале,Анализ подходов к определению феномена «безопасность»,,,Культура безопасности,с. 19–25,,,,Тимофеева Л.Л. Анализ подходов к определению феномена «безопасность» // «ОБЖ. Основы безопасности жизни». 2021. № 1. С. 19—25
2021,Статья в сборнике,Воспитание культуры безопасности на разных уровнях основного общего образования,,,Культура безопасности,с. 273–279,,,,"Тимофеева Л.Л. Воспитание культуры безопасности на разных уровнях основного общего образования // Актуальные вопросы безопасности в современном образовании: материалы всероссийской научно-практической конференции, Екатеринбург, 27 мая 2021 г. / Урал. гос. пед. ун-т; сост. и ред. В. В. Гафнер. – Екатеринбург, 2021. — 307 с. — С. 273—279"
2021,Статья в журнале,Естественно-научная функциональная грамотность младшего школьника. Оценка уровня сформированности умения применять научные методы познания,,,Естественно-научная грамотность; Функциональная грамотность,с. 51–66,,,,Тимофеева Л.Л. Естественно-научная функциональная грамотность младшего школьника. Оценка уровня сформированности умения применять научные методы познания // Лидер образования. Выпуск 1.2021. С. 51—66
2021,Книга,Загадки на каждом шагу! Наш мир. Путешествие первооткрывателей. Ребенок и окружающий мир,Бережнова О.В.,Просвещение,Естественно-научная грамотность,,,,,"Тимофеева Л.Л., Бережнова О.В. Загадки на каждом шагу! Наш мир. Путешествие первооткрывателей. Ребенок и окружающий мир. – М.: Просвещение: Редакция БИНОМ ДЕТСТВА, 2021. – 32 с.: ил. – (Мир открытий)"
2021,Статья в журнале,"Злодеи и хулиганы на утреннике, или Как оценить информационную безопасность мероприятий в детском саду",,,Информационная культура и безопасность; Культура безопасности,с. 36–41,,,,"Тимофеева Л.Л. Злодеи и хулиганы на утреннике, или Как оценить информационную безопасность мероприятий в детском саду // Справочник старшего воспитателя дошкольного учреждения. 2021. № 5. С. 36—41"
2021,Статья в журнале,Как научить педагогов оценивать безопасность книг и мультфильмов для детей. Семинар-практикум,Королева Н.И.,,Культура безопасности; Проектная и исследовательская деятельность,с. 44–50,,,,"Тимофеева Л.Л., Королева Н.И. Как научить педагогов оценивать безопасность книг и мультфильмов для детей. Семинар-практикум // Справочник старшего воспитателя дошкольного учреждения. 2021. № 4. С. 44–50"
2021,Статья в журнале,Как оценить безопасность информационной среды детского сада. Критерии и карта экспресс-анализа,,,Информационная культура и безопасность; Культура безопасности,с. 4–8,,,,Тимофеева Л.Л. Как оценить безопасность информационной среды детского сада. Критерии и карта экспресс-анализа // Справочник старшего воспитателя дошкольного учреждения. 2021. № 2. С. 4–8
2021,Монография,Концепция формирования культуры безопасности у детей дошкольного и младшего школьного возраста,,Педагогика,Культура безопасности; Дошкольное образование,,,,,"Тимофеева Л.Л. Концепция формирования культуры безопасности у детей дошкольного и младшего школьного возраста: монография. М.: Педагогика, 2021. 308 с"
2021,Статья в журнале,"Критерии и карты оценки, чтобы проверить информационную безопасность презентаций, видео и книг в детском саду",Королева Н.И.,,Информационная культура и безопасность; Культура безопасности,с. 29–36,,,,"Тимофеева Л.Л., Королева Н.И. Критерии и карты оценки, чтобы проверить информационную безопасность презентаций, видео и книг в детском саду // Справочник старшего воспитателя дошкольного учреждения. 2021. № 4. С. 29–36"
2021,Статья в журнале,Культура безопасности: генезис и развитие,,,Культура безопасности,с. 23–28,,,,Тимофеева Л.Л. Культура безопасности: генезис и развитие // «ОБЖ. Основы безопасности жизни». 2021. № 2. С. 23—28
2021,Статья в журнале,Методологические подходы к изучению проблем репрезентации культуры безопасности,,,Культура безопасности,с. 9–19,,,https://naukaru.ru/ru/nauka/article/43825/view,Тимофеева Л.Л. Методологические подходы к изучению проблем репрезентации культуры безопасности // Журнал педагогических исследований. 2021. Том 6. – № 4. С. 9—19
2021,Статья в журнале,Модель формирования культуры безопасности у младших школьников,,,Культура безопасности,с. 74–81,,,,Тимофеева Л.Л. Модель формирования культуры безопасности у младших школьников // Высшее образование сегодня. 2021. № 9—10. С. 74—81
2021,Методическое пособие,Организация образовательной деятельности в ДОО. Примерное планирование. Старшая группа (5—6 лет),Корнеичева Е.Е.; Грачева Н.И.,ИНФРА-М,Планирование образовательной деятельности; Дошкольное образование,,10.12737/1072140.,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организация образовательной деятельности в ДОО. Примерное планирование. Старшая группа (5—6 лет): учебно-методическое пособие /под общ. ред. Л.Л. Тимофеевой. — Москва: ИНФРА-М, 2021. — 298 с. — (Среднее профессиональное образование). — DOI 10.12737/1072140"
2021,Статья в журнале,"От чего надо защищать детей: три шага, чтобы рассказать родителям про информационную безопасность",,,Информационная культура и безопасность; Культура безопасности,с. 46–51,,,,"Тимофеева Л.Л. От чего надо защищать детей: три шага, чтобы рассказать родителям про информационную безопасность// Справочник старшего воспитателя дошкольного учреждения. 2021. № 6. С. 46—51"
2021,Статья в журнале,Оценка сформированности культуры безопасности у младших школьников,,,Культура безопасности,с. 11–17,,,,Тимофеева Л.Л. Оценка сформированности культуры безопасности у младших школьников // Начальная школа. 2021. № 8. С. 11—17
2021,Книга,Оценка уровня сформированности умений проводить наблюдения и опыты у младших школьников,Жилина Т.И.; Стан Ю.Ю.,Институт развития образования (Краснодар),Естественно-научная грамотность; Функциональная грамотность,с. 17–21,,,http://iro23.ru/sites/default/files/2020/sbornik_noo_2021_ot_21_aprelya.pdf,"Тимофеева Л.Л. Оценка уровня сформированности умений проводить наблюдения и опыты у младших школьников. Краснодар: ИРО Естественно-научная грамотность в начальной школе: создание условий для формирования и оценивания / Сборник материалов краевой научно-практической конференции «Формирование основ естественно-научной грамотности младших школьников. 21 апреля 2021 г., г. Краснодар» / отв. ред.: Т.И. Жилина, Ю.Ю. Стан, Краснодар: ИРО, 2021. – 132 с. С. 17—21"
2021,Статья в журнале,Оценка условий реализации концепции формирования культуры безопасности в практике дошкольного и начального общего образования,,,Культура безопасности; Дошкольное образование,с. 28–34,,,,Тимофеева Л.Л. Оценка условий реализации концепции формирования культуры безопасности в практике дошкольного и начального общего образования // Высшее образование сегодня. 2021. № 7—8. С. 28—34
2021,Книга,Первооткрыватели. Ребенок и окружающий мир. Альбом наблюдений. 6—7 лет,,БИНОМ. Лаборатория знаний,Естественно-научная грамотность,,,,,"Тимофеева Л.Л. Первооткрыватели. Ребенок и окружающий мир. Альбом наблюдений. 6—7 лет. М.: БИНОМ. Лаборатория знаний: Редакция БИНОМ ДЕТСТВА, 2021. — 48 с.: ил. — (Мир открытий)"
2021,Статья в сборнике,Подготовка педагогов к формированию социальной функциональной грамотности у младших школьников,,ФГБНУ «Институт стратегии развития образования РАО»,Функциональная грамотность; Профессиональное развитие педагогов,с. 488–497,,,,"Тимофеева Л.Л. Подготовка педагогов к формированию социальной функциональной грамотности у младших школьников // Международная научно-практическая конференция «Образовательное пространство в информационную эпоху» (2021 International conference ’’Education Environment for the Information Age” (EEIA– 2021)): сборник научных трудов / под ред. С.В. Ивановой. М.: ФГБНУ «Институт стратегии развития образования РАО», 2021. – 608 с. С. 488—497"
2021,Статья в журнале,Подготовка учителей к формированию у младших школьников культуры безопасности,,,Культура безопасности; Профессиональное развитие педагогов,с. 22–27,10.12737/1998-0728-2021-9-4-22-27,,https://doi.org/10.12737/1998-0728-2021-9-4-22-27,Тимофеева Л.Л. Подготовка учителей к формированию у младших школьников культуры безопасности // Начальное образование. 2021. № 4. С. 22—27
2021,Методическое пособие,Познавательное развитие. Ознакомление с окружающим миром. Конспекты различных форм работы. 6—7 лет,,Русское слово – учебник,Проектная и исследовательская деятельность,,,,,"Тимофеева Л.Л. Познавательное развитие. Ознакомление с окружающим миром. Конспекты различных форм работы. 6—7 лет: методическое пособие. М.: ООО «Русское слово – учебник», 2021. – 560 с. — (ФГОС ДО. ПМК «Мозаичный ПАРК»)"
2021,Методическое пособие,Познавательное развитие. Ребенок и окружающий мир,Бережнова О.В.,Просвещение,Естественно-научная грамотность; Проектная и исследовательская деятельность,,,,,"Тимофеева Л.Л., Бережнова О.В. Познавательное развитие. Ребенок и окружающий мир. Методические рекомендации к программе «Мир открытий». Конспекты современных форм организации детских видов деятельности. Старшая группа детского сада. – М.: Просвещение, 2021. – 240 с"
2021,Методическое пособие,Познавательное развитие. Ребенок и окружающий мир,Бережнова О.В.,Просвещение,Естественно-научная грамотность; Проектная и исследовательская деятельность,,,,,"Тимофеева Л.Л., Бережнова О.В. Познавательное развитие. Ребенок и окружающий мир. Методические рекомендации к программе «Мир открытий». Конспекты современных форм организации детских видов деятельности. Подготовительная к школе группа детского сада. – М.: Просвещение, 2021. – 240 с"
2021,Статья в журнале,Проектирование адаптивной педагогической системы формирования культуры безопасности у детей дошкольного и младшего школьного возраста,,,Культура безопасности; Проектная и исследовательская деятельность,с. 236–245,,,,Тимофеева Л.Л. Проектирование адаптивной педагогической системы формирования культуры безопасности у детей дошкольного и младшего школьного возраста // Мир образования – образование в мире. 2021. № 4 (84). С. 236—245
2021,Статья в журнале,"Семинар-практикум, который поможет научить педагогов проводить безопасные мероприятия для детей",,,Культура безопасности,с. 56–65,,,,"Тимофеева Л.Л. Семинар-практикум, который поможет научить педагогов проводить безопасные мероприятия для детей // Справочник старшего воспитателя дошкольного учреждения. 2021. № 8. С. 56—65"
2021,Статья в сборнике,Формирование культуры безопасности у детей дошкольного и младшего школьного возраста,,МГОИРО,Культура безопасности; Дошкольное образование,с. 15–16,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей дошкольного и младшего школьного возраста // Научно-методическое сопровождение повышения квалификации педагогов: опыт, проблемы, перспективы : сборник тезисов VII Международной научно-практической конференции. 24-25 мая 2021 года, г. Могилёв / редкол. : М. М. Жудро [и др.] ; под общ. ред. С. А. Данилевича. – Могилёв : МГОИРО, 2021. – 502 с. С. 15—16"
2021,Монография,Формирование культуры безопасности у детей дошкольного и младшего школьного возраста. История и современность,Бозиев Р.С.,РУСАЙНС,Культура безопасности; Дошкольное образование,,,,https://www.knorus.ru/catalog/obrazovanie-i-pedagogika/614468-formirovanie-kul-tury-bezopasnosti-u-detey-doshkol-nogo-i-mladshego-shkol-nogo-vozrasta-istoriya-i-sovremennost-aspirantura-magistratura-monografiya/,"Тимофеева Л.Л. Формирование культуры безопасности у детей дошкольного и младшего школьного возраста. История и современность: монография / Л.Л. Тимофеева; науч. ред. Р.С. Бозиев. — М.: РУСАЙНС, 2021. — 260 с"
2021,Статья в журнале,Формирование у детей культуры безопасности: построение личностно ориентированных образовательных ситуаций,,,Культура безопасности,с. 21–29,,,,Тимофеева Л.Л. Формирование у детей культуры безопасности: построение личностно ориентированных образовательных ситуаций // Детский сад от А до Я. 2021. № 4. С. 21—29
2021,Статья в журнале,мира как фактор развития личности младшего школьника,,,,с. 58–60,,,,мира как фактор развития личности младшего школьника // Методист. 2021. № 3. С. 58—60
2020,Статья в журнале,Использование плакатов в процессе формирования культуры безопасности у детей дошкольного возраста,,,Культура безопасности; Дошкольное образование,с. 6–10,,,,Тимофеева Л.Л. Использование плакатов в процессе формирования культуры безопасности у детей дошкольного возраста // Дошкольная педагогика. 2020. № 5. С. 6—10
2020,Статья в сборнике,Итоги регионального проекта «Формирование культуры безопасности у детей дошкольного возраста»,,,Культура безопасности; Проектная и исследовательская деятельность,с. 136–139,,,,"Тимофеева Л.Л. Итоги регионального проекта «Формирование культуры безопасности у детей дошкольного возраста» // Дошкольное и начальное общее образование Орловской области. Педагогические новации. Специальный выпуск: «Федеральный государственный образовательный стандарт дошкольного образования: региональный опыт реализации». Сборник научно-методических статей. Часть I. – Орел, 2020. – 252 с. С. 136—139"
2020,Методическое пособие,Методические рекомендации по обеспечению информационной безопасности в образовательной организации,,,Информационная культура и безопасность; Культура безопасности,,,,,"Методические рекомендации по обеспечению информационной безопасности в образовательной организации / сост. Л. Л. Тимофеева. — Орёл: Бюджетное учреждение Орловской области дополнительного профессионального образования «Институт развития образования», 2020. — 58 с"
2020,Книга,Наш мир. Радость открытий. Как Аня и Дима узнали обо всем на свете,Бережнова О.В.,БИНОМ. Лаборатория знаний,,,,,,"Тимофеева Л.Л., Бережнова О.В. Наш мир. Радость открытий. Как Аня и Дима узнали обо всем на свете. — М.: БИНОМ. Лаборатория знаний: Редакция БИНОМ ДЕТСТВА, 2020. — 32 с.: ил. — (Мир открытий)"
2020,Статья в журнале,Обучение детей в области безопасности жизнедеятельности как самостоятельное направление в США в конце XIX-XX вв,,,Культура безопасности,с. 136–150,,,,Тимофеева Л.Л. Обучение детей в области безопасности жизнедеятельности как самостоятельное направление в США в конце XIX-XX вв. // Отечественная и зарубежная педагогика. 2020. № 1 (65). С. 136—150
2020,Статья в журнале,Овладение методами познания природных явлений как важная составляющая естественно-научной функциональной грамотности младшего школьника,,,Естественно-научная грамотность; Функциональная грамотность,с. 24–29,,,,Тимофеева Л.Л. Овладение методами познания природных явлений как важная составляющая естественно-научной функциональной грамотности младшего школьника // Начальное образование. 2020. № 3. С. 24—29
2020,Статья в журнале,Овладение методами познания природных явлений как важная составляющая естественно-научной функциональной грамотности младшего школьника (окончание статьи),,,Естественно-научная грамотность; Функциональная грамотность,с. 27–31,,,,Тимофеева Л.Л. Овладение методами познания природных явлений как важная составляющая естественно-научной функциональной грамотности младшего школьника (окончание статьи) // Начальное образование. 2020. № 4. С. 27—31
2020,Методическое пособие,Организация образовательной деятельности в ДОО. Примерное планирование. Вторая младшая группа (3-4 года),Корнеичева Е.Е.; Грачева Н.И.,ИНФРА-М,Планирование образовательной деятельности; Дошкольное образование,,10.12737/1072118.,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организация образовательной деятельности в ДОО. Примерное планирование. Вторая младшая группа (3-4 года): учебно-методическое пособие / под общ. ред. Л.Л. Тимофеевой. — Москва: ИНФРА-М, 2020. — 323 с. — (Среднее профессиональное образование). — DOI 10.12737/1072118"
2020,Методическое пособие,Организация образовательной деятельности в ДОО. Примерное планирование. Первая младшая группа (2-3 года),Корнеичева Е.Е.; Грачева Н.И.,ИНФРА-М,Планирование образовательной деятельности; Дошкольное образование,,10.12737/1072122.,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организация образовательной деятельности в ДОО. Примерное планирование. Первая младшая группа (2-3 года): учебно-методическое пособие /под общ. ред. Л.Л. Тимофеевой. — Москва: ИНФРА-М, 2020. — 337 с. — (Среднее профессиональное образование). — DOI 10.12737/1072122"
2020,Методическое пособие,Организация образовательной деятельности в ДОО. Примерное планирование. Подготовительная к школе группа (6-7 лет),Корнеичева Е.Е.; Грачева Н.И.,ИНФРА-М,Планирование образовательной деятельности; Дошкольное образование,,10.12737/1072122.,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организация образовательной деятельности в ДОО. Примерное планирование. Подготовительная к школе группа (6-7 лет): учебно-методическое пособие /под общ. ред. Л.Л. Тимофеевой. — Москва: ИНФРА-М, 2020. — 337 с. — (Среднее профессиональное образование). — DOI 10.12737/1072122"
2020,Методическое пособие,Организация образовательной деятельности в ДОО. Примерное планирование. Средняя группа (4-5 лет),Корнеичева Е.Е.; Грачева Н.И.,ИНФРА-М,Планирование образовательной деятельности; Дошкольное образование,,,,,"Тимофеева Л.Л., Корнеичева Е.Е., Грачева Н.И. Организация образовательной деятельности в ДОО. Примерное планирование. Средняя группа (4-5 лет): учебно-методическое пособие / под общ. ред. Л.Л. Тимофеевой. — Москва: ИНФРА-М, 2020. — 323 с. — (Среднее профессиональное образование)"
2020,Статья в журнале,Организация работы образовательных организаций по обеспечению информационной безопасности детей,,,Информационная культура и безопасность; Культура безопасности,с. 10–41,,,,Тимофеева Л.Л. Организация работы образовательных организаций по обеспечению информационной безопасности детей // Лидер образования. Выпуск 12.2020. С. 10—41
2020,Монография,Педагогические аспекты проблемы обеспечения информационной безопасности детей дошкольного и младшего школьного возраста,,МЦНП «Новая наука»,Информационная культура и безопасность; Культура безопасности,с. 99–112,,,,"Тимофеева Л.Л. Педагогические аспекты проблемы обеспечения информационной безопасности детей дошкольного и младшего школьного возраста // Цифровизация как драйвер роста науки и образования: [монография / Аюпова Г. Т. и др.] ; под общей ред. М. В. Посновой. Петрозаводск : МЦНП «Новая наука», 2020. – 263 с. С. 99—112"
2020,Статья в журнале,Повышение компетентности педагога по вопросам обеспечения информационной безопасности дошкольников,,,Информационная культура и безопасность; Культура безопасности,с. 12–22,,,,Тимофеева Л.Л. Повышение компетентности педагога по вопросам обеспечения информационной безопасности дошкольников // Детский сад от А до Я. 2020. № 2 (104) . С. 12—22
2020,Статья в сборнике,Повышение компетентности педагогов в вопросах информационной безопасности младших школьников,,,Информационная культура и безопасность; Культура безопасности,с. 78–83,,,,"Тимофеева Л.Л. Повышение компетентности педагогов в вопросах информационной безопасности младших школьников // Дистанционные образовательные технологии: опыт и перспективы. Сборник научных статей Международной научно-практической онлайн конференции. 28 мая 2020 года, г. Орел. Бюджетное учреждение Орловской области дополнительного профессионального образования «Институт развития образования», 2020. – 344 с. – ISBN 978-5-9909476-1-0. С. 78—83"
2020,Статья в журнале,Подготовка педагога к решению задач обеспечения безопасности детей дошкольного возраста,,,Культура безопасности; Профессиональное развитие педагогов,с. 119–128,,,,Тимофеева Л.Л. Подготовка педагога к решению задач обеспечения безопасности детей дошкольного возраста // Вестник СурГПУ. 2020. № 1 (64). С. 119—128
2020,Статья в сборнике,Подготовка педагога к формированию культуры безопасности у детей дошкольного возраста,,Академия последипломного образования (Минск),Культура безопасности; Профессиональное развитие педагогов,с. 822–827,,,http://www.academy.edu.by/files/sem%20konf%202020/sbornik%203%20mkonf%205%20nov%202020.pdf,"Тимофеева Л.Л. Подготовка педагога к формированию культуры безопасности у детей дошкольного возраста // Непрерывное образование педагогов: достижения, проблемы, перспективы [Электронный ресурс] : материалы III Междунар. науч.-практ. конференции, Минск, 5 ноября 2020 г. / М-во образования Респ. Беларусь, ГУО «Акад. последиплом. образования». – Минск : АПО, 2020. С. 822—827"
2020,Статья в журнале,Познавательное развитие дошкольников: наблюдение как практический способ открытия окружающего мира,,,Проектная и исследовательская деятельность; Дошкольное образование,с. 20–21,,,,Тимофеева Л.Л. Познавательное развитие дошкольников: наблюдение как практический способ открытия окружающего мира // Дошкольный мир. 2020. Апрель—июнь. С. 20—21
2020,Методическое пособие,Познавательное развитие. Ребенок и окружающий мир,Бережнова О.В.,БИНОМ. Лаборатория знаний,Естественно-научная грамотность; Проектная и исследовательская деятельность,,,,,"Тимофеева Л.Л., Бережнова О.В. Познавательное развитие. Ребенок и окружающий мир. Методические рекомендации к программе «Мир открытий». Конспекты современных форм организации детских видов деятельности. Средняя группа детского сада. – М.: БИНОМ. Лаборатория знаний: Редакция БИНОМ ДЕТСТВА, 2020. – 208 с"
2020,Статья в сборнике,Региональный опыт формирования основ финансовой грамотности у детей дошкольного возраста,Лукьянов В.В.,,Функциональная грамотность; Дошкольное образование,с. 78–82,,,,"Лукьянов В.В., Тимофеева Л.Л. Региональный опыт формирования основ финансовой грамотности у детей дошкольного возраста // Дошкольное и начальное общее образование Орловской области. Педагогические новации. Специальный выпуск: «Федеральный государственный образовательный стандарт дошкольного образования: региональный опыт реализации». Сборник научно-методических статей. – Орел, 2020. – 252 с. С. 78—82"
2020,Статья в сборнике,Роль учебного предмета «Окружающий мир» в формировании естественно-научной функциональной грамотности младшего школьника,,Институт развития образования (Краснодар),Естественно-научная грамотность; Функциональная грамотность,с. 24–28,,,,"Тимофеева Л.Л. Роль учебного предмета «Окружающий мир» в формировании естественно-научной функциональной грамотности младшего школьника // Успешные управленческие и педагогические практики реализации ФГОС начального общего образования. Сборник материалов VI Краевой научно-практической конференции. 25 ноября 2020 г., г. Краснодар [Текст] / отв. ред. Т.И. Жилина, Ю.Ю. Стан – Краснодар: ИРО, 2020. – 186. с. С. 24—28"
2020,Статья в журнале,Создание безопасной информационной среды в дошкольной образовательной организации,,,Информационная культура и безопасность; Культура безопасности,с. 26–38,,,,Тимофеева Л.Л. Создание безопасной информационной среды в дошкольной образовательной организации // Детский сад от А до Я. 2020. № 1. С. 26—38
2020,Статья в журнале,Создание безопасной информационной среды в образовательной организации,,,Информационная культура и безопасность; Культура безопасности,с. 27–37,,,,Тимофеева Л. Л. Создание безопасной информационной среды в образовательной организации // Образование в Орловской области. 2020. № 2. С. 27—37
2020,Методическое пособие,Формирование культуры безопасности у детей 3—8 лет. Мы и природа. Наглядно-методическое пособие,,Детство-Пресс,Культура безопасности,,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей 3—8 лет. Мы и природа. Наглядно-методическое пособие. СПб.: Детство-пресс, 2020. – 8 с"
